_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
394398	643	Bogalusa, LA	msa	LA	0.0	0	0	0	0	0	0	0	0	0	41324	41744	43148	47397	51875	54481	58423	62994	65734	70153	76980	81863	84056
394500	644	Cornelia, GA	msa	GA	0.0	0	0	0	0	0	0	0	116477	112956	105446	98259	94061	97566	109282	119378	128105	133621	147761	159618	208924	246790	250786
753889	645	Hillsdale, MI	msa	MI	0.0	0	0	0	0	0	0	0	86624	79835	74552	73988	76268	83489	91208	95472	101612	108819	117424	126740	157320	174764	177658
395155	646	Thomasville, GA	msa	GA	81129.25433164988	86657	91339	96360	99268	102448	109064	114203	114336	109029	101177	94662	92889	95407	101316	104694	107801	109606	117395	123237	147517	171597	178360
394961	647	Paragould, AR	msa	AR	61519.42784155651	63830	64931	67160	70380	76697	80147	81827	81638	80717	79833	79269	84245	87699	88564	92978	99781	103738	107043	112527	137208	154464	159000
394650	648	Greenville, MS	msa	MS	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278863	81859	72978	64872	67978	60074	53333
394427	649	Burlington, IA	msa	IA	0.0	0	0	0	0	0	0	0	0	74935	75221	75441	75854	77913	82127	87315	90976	92464	97677	100965	113907	121006	123202
394817	650	Madisonville, KY	msa	KY	51842.69135297933	53939	55862	58024	60749	63718	65913	67995	69044	68826	68765	63506	63633	67163	70449	71999	72712	75418	77109	80712	97700	114413	120166
394850	651	Menomonie, WI	msa	WI	0.0	0	0	0	0	0	0	0	0	127607	123842	119952	120284	124059	130679	140409	149084	158181	172254	182457	223265	245900	249846
753918	652	Shawano, WI	msa	WI	0.0	0	0	0	0	0	0	0	0	108758	103779	101124	99897	101581	103046	107488	112665	115993	125296	129423	163303	176635	181925
395189	653	Vicksburg, MS	msa	MS	0.0	0	0	0	0	0	0	0	0	0	0	0	94739	91530	99801	123392	132608	132402	128590	126457	151590	158544	154725
394375	654	Bedford, IN	msa	IN	0.0	0	0	0	0	0	0	0	0	0	80231	78637	79949	82821	86660	90366	91594	95755	106265	117164	155547	175062	175348
395208	656	Washington, NC	msa	NC	80973.80479406762	85380	89408	93429	97281	109591	116024	123052	126018	121952	113784	106223	106471	105417	107281	113896	124531	129296	135559	142819	179240	209634	220713
