_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
395192	0	0	0	0	0	0	0	0	0	0	0	69873	72646	75188	78533	81258	82155	84920	92193	112425	124497	124523	750	Vincennes, IN	IN
394370	0	0	0	0	0	0	0	0	109896	109069	107385	109447	112929	118376	124655	136468	142196	151514	151865	170617	186287	186201	751	Bay City, TX	TX
394920	0	0	0	0	0	0	111627	113428	113292	110406	104801	107830	111605	114901	120149	127080	133231	137541	144299	157969	176162	182135	752	North Platte, NE	NE
394973	0	0	0	0	0	0	0	0	62692	61071	59864	59872	59868	63017	67890	72612	74502	80463	89011	113058	124964	126551	753	Peru, IN	IN
394992	74366	78406	82465	88496	95380	100063	100829	96927	92218	96363	94906	95662	93050	90748	88355	91777	91382	95126	100848	116030	127562	131316	754	Pontiac, IL	IL
394781	0	0	0	0	0	0	0	0	97683	95399	92947	91699	91700	95550	104621	107169	112039	115592	124825	155092	180627	188152	755	Lebanon, MO	MO
394915	45559	46454	47918	50414	54090	59579	63282	64973	64563	62782	61464	64601	69597	71274	73793	80468	88810	93704	108547	136852	161180	166672	756	Newport, TN	TN
394525	0	0	0	0	0	0	0	0	111770	109949	108120	107188	107050	110110	114613	119906	125609	134036	142974	167621	186644	191993	757	Decatur, IN	IN
395191	58542	59817	61815	66175	69953	73242	76310	76309	72623	66603	62462	61995	64197	66885	69211	72147	78884	86832	92386	112890	127635	129249	758	Vidalia, GA	GA
394413	0	0	0	0	0	0	0	0	160721	158885	158052	159132	163211	170915	184422	199436	208322	217374	227488	275097	322743	326892	759	Brenham, TX	TX
395187	0	0	0	0	0	0	0	0	164416	156058	150540	158558	180322	189905	200906	191656	166167	167868	190265	226746	266752	280664	760	Vernal, UT	UT
394947	0	0	0	0	0	0	0	0	38466	38139	38540	39842	42506	44676	51292	58577	58446	74151	80615	93892	105472	107517	762	Ottumwa, IA	IA
394430	0	0	0	0	0	0	0	0	0	0	0	105986	109246	113044	116400	126577	135438	149056	159291	203153	246030	254150	764	Butte, MT	MT
394499	0	0	0	0	0	0	0	0	0	0	0	89847	83555	84914	87849	90694	94847	96581	99838	114400	126557	124748	765	Corinth, MS	MS
394417	0	0	0	0	0	0	0	0	0	0	0	0	79552	79037	87885	99632	105486	109657	115157	133514	144471	145138	766	Brookhaven, MS	MS
394569	0	0	0	0	0	0	0	0	0	77296	74799	76431	76693	80659	84341	86522	90628	94973	102197	129490	143278	148742	767	Emporia, KS	KS
394713	0	0	0	0	0	0	0	0	381156	345612	309374	319581	332210	364776	413370	462759	500692	543639	608340	870406	1105917	1132951	768	Jackson, WY	WY
394385	0	0	0	0	0	0	0	0	0	0	0	66280	74333	87118	100196	99301	90785	97659	106727	115744	113350	111488	770	Big Spring, TX	TX
394557	0	0	0	0	0	0	0	0	112396	107196	105112	106678	110247	113070	117085	121576	127792	132113	137912	156835	180285	184922	771	Effingham, IL	IL
394536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103328	108874	114803	119626	141613	156200	165605	772	Dodge City, KS	KS
395211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170122	177014	184366	187731	193622	229305	268341	275161	773	Watertown, SD	SD
394331	0	0	0	0	0	0	0	127300	124886	121768	119439	121488	126812	132232	138100	145591	159859	170510	179085	229857	261508	261220	774	Angola, IN	IN
394535	0	0	0	0	0	109177	111099	108030	100638	96668	93472	88310	80548	60392	56843	68394	86695	100317	102222	120273	129194	131145	775	Dixon, IL	IL
394777	54031	55359	56811	58297	61542	65865	69145	70127	68429	65652	63836	64369	64050	64052	63544	67143	68239	69592	71050	91225	112183	123241	776	Laurinburg, NC	NC
395149	0	0	0	0	0	0	0	0	0	0	0	187000	199963	208545	217726	234660	243568	256044	266347	337435	380577	383224	777	Taos, NM	NM
394419	0	0	0	0	0	0	0	0	0	0	0	149157	152316	156456	163312	172543	180140	186774	193908	231673	257754	264672	778	Brookings, SD	SD
394324	77412	81021	83857	87350	81119	83862	86414	85415	81362	73996	68519	67247	68428	66101	68643	70131	67117	71172	75058	94717	111903	114777	779	Americus, GA	GA
394491	81460	84051	86257	90081	93641	95098	96249	99062	102944	113094	118898	124623	130649	138512	144200	150478	162604	173781	183706	220104	241811	244612	780	Columbus, NE	NE
395150	0	0	0	0	0	0	0	0	68029	66409	66403	66297	67561	69145	69867	73422	72445	75547	78579	85454	90658	94162	781	Taylorville, IL	IL
394335	67234	73542	80704	93613	116743	138887	136872	115717	96371	86834	80242	78008	81419	87354	97012	112006	127752	139760	151699	190291	247131	252973	782	Arcadia, FL	FL
394786	76904	79065	81325	84336	86321	87620	92929	94422	91867	88994	86769	86935	89792	96221	107609	121026	138029	161103	178620	233136	279701	281499	783	Lewisburg, TN	TN
